01-Interactive Galaxy Portfolio	galaxy-portfolio	vite
02-Liquid Glass Product Landing Page	liquid-glass-landing	static
03-Cyberpunk 3D City Navigation	cyberpunk-city	vite
04-Infinite 3D Gallery	infinite-gallery	static
05-Cursor Black Hole	cursor-black-hole	static
06-Scroll-Driven Underwater Journey	underwater-journey	static
07-Living Digital Organism	digital-organism	static
08-Impossible Architecture Portfolio	impossible-architecture	static
09-Y2K  Retro OS 3D Desktop	y2k-retro-os	static
10-Interactive 3D Personal AI Core	ai-core	static
